leaid,district,boys,girls
2400030,Allegany County Public Schools,695,464
2400060,Anne Arundel County Public Schools,2498,2567
2400090,Baltimore City Public Schools,3677,2941
2400120,Baltimore County Public Schools,739,1858
2400150,Calvert County Public Schools,997,1276
2400180,Caroline County Public Schools,487,404
2400210,Carroll County Public Schools,1803,1294
2400240,Cecil County Public Schools,614,851
2400270,Charles County Public Schools,936,616
2400300,Dorchester County Public Schools,524,438
2400330,Frederick County Public Schools,2404,2853
2400360,Garrett County Public Schools,378,300
2400390,Harford County Public Schools,3472,2836
2400420,Howard County Public Schools,5395,4064
2400450,Kent County Public Schools,73,82
2400480,Montgomery County Public Schools,9866,8339
2400510,Prince George's County Public Schools,5186,4325
2400540,Queen Anne's County Public Schools,757,736
2400570,Somerset County Public Schools,194,106
2400600,St. Mary's County Public Schools,1009,897
2400630,Talbot County Public Schools,374,383
2400660,Washington County Public Schools,1323,1427
2400690,Wicomico County Public Schools,751,776
2400720,Worcester County Public Schools,632,504