Name,TotalPop,TwoPlusRaces,White,Black,Native,Asian,NHPI,Other,HISPANIC,NotHispanic
Aberdeen city,15238,593,8814,4510,68,735,0,526,1151,14087
Accokeek ,11617,316,2708,7659,125,569,0,259,263,11354
Adelphi ,15547,603,3395,5556,26,1671,0,4633,5788,9759
Annapolis city,38841,753,24423,9496,19,529,0,3751,7314,31527
Annapolis Neck ,11084,363,9681,782,0,243,0,59,437,10647
Arbutus ,21662,962,16048,2335,34,2183,40,112,822,20840
Arnold ,22574,728,20280,813,22,600,0,263,940,21634
Aspen Hill ,52607,1988,22801,12082,74,5293,119,11026,16064,36543
Ballenger Creek ,18490,815,12111,3680,7,1424,39,545,2154,16336
Baltimore city,622454,14123,188684,391122,1775,15987,366,11836,28492,593962
Bel Air town,10247,281,8830,667,0,469,0,0,287,9960
Bel Air North ,31871,751,28909,1273,0,776,0,201,719,31152
Bel Air South ,46955,1081,40280,2903,62,2162,0,548,1801,45154
Beltsville ,18306,576,6311,6561,11,1569,52,3299,5127,13179
Bensville ,12292,268,5161,6285,0,342,138,145,664,11628
Bethesda ,62102,2185,51144,1715,62,6577,61,592,4758,57344
Bowie city,56885,2231,23745,27873,135,2148,0,946,3643,53242
Brock Hall ,10635,304,772,9175,0,239,0,210,542,10093
Brooklyn Park ,14042,638,10238,2284,81,470,0,331,900,13142
California ,12228,420,9052,2122,39,468,0,145,826,11402
Calverton ,18747,1247,5908,7288,156,2847,0,1961,3045,15702
Cambridge city,12534,260,5761,6088,2,123,0,307,565,11969
Camp Springs ,20339,415,2398,15919,72,570,0,965,1546,18793
Carney ,29196,819,21244,4482,35,2323,0,365,725,28471
Catonsville ,42265,793,31994,6109,111,2435,0,873,2102,40163
Chesapeake Ranch Estates ,10111,421,8189,1244,0,166,0,91,348,9763
Chillum ,37150,576,3739,18324,153,967,36,13494,16474,20676
Clarksburg ,18709,980,7517,3508,146,6129,0,684,2219,16490
Clinton ,39336,647,4132,33015,55,949,32,631,2097,37239
Cloverly ,15485,523,7326,4118,0,2677,0,859,1769,13716
Cockeysville ,20603,494,13261,3799,220,2601,16,355,1508,19095
Colesville ,14190,941,6028,3855,0,2637,0,915,1852,12338
College Park city,31730,1073,18656,5708,30,4653,61,1831,3267,28463
Columbia ,103055,3961,55534,27558,207,13399,111,2700,8152,94903
Crofton ,27934,1120,21396,3757,62,1291,0,319,1363,26571
Cumberland city,20449,701,18131,1302,41,214,0,113,308,20141
Damascus ,15267,544,12213,1350,31,1055,0,95,1847,13420
Dundalk ,62349,2378,49911,6587,477,2143,47,1195,3153,59196
Easton town,16599,1029,12637,2420,20,429,0,561,1737,14862
East Riverdale ,16242,397,6968,5195,11,405,0,3316,9270,6972
Edgewood ,26060,1133,12646,10925,44,335,0,1235,1849,24211
Eldersburg ,31494,687,28639,938,82,1055,0,125,749,30745
Elkridge ,17550,746,10407,3841,80,2018,0,593,2193,15357
Elkton town,15718,347,12183,2448,39,493,0,252,1172,14546
Ellicott City ,68513,1864,42585,6621,169,16676,12,763,2501,66012
Essex ,38256,1146,25776,10094,26,506,0,763,1927,36329
Fairland ,23673,1411,4620,12628,95,3888,17,1448,2281,21392
Ferndale ,18612,1053,12102,2999,206,846,0,1553,2731,15881
Forestville ,11298,162,1266,9643,123,37,0,117,1042,10256
Fort Meade ,10137,962,6663,2009,28,391,0,123,1387,8750
Fort Washington ,23611,910,3221,16099,1,2163,0,1494,1958,21653
Frederick city,67421,2744,44109,12932,326,4193,62,3460,10833,56588
Gaithersburg city,64945,2957,32710,11330,199,11708,9,6942,14958,49987
Germantown ,89826,4235,41664,20532,379,18585,0,5036,18480,71346
Glassmanor ,17552,308,869,14503,28,129,0,1715,2417,15135
Glen Burnie ,68550,3017,44400,16696,164,2923,179,1252,5684,62866
Glenmont ,15716,612,5124,4008,5,1877,0,4278,5650,10066
Glenn Dale ,13108,538,3818,7930,0,743,0,138,1371,11737
Greenbelt city,23827,651,7805,11976,0,1869,0,1593,3545,20282
Hagerstown city,40210,2465,28579,7524,134,1093,25,518,2431,37779
Halfway ,10596,409,9315,407,10,268,0,187,360,10236
Havre de Grace city,13445,394,10071,2257,104,538,0,142,613,12832
Hillcrest Heights ,15383,213,672,14300,21,70,0,146,427,14956
Hyattsville city,18225,710,5552,6348,104,835,0,4855,6443,11782
Ilchester ,26304,1099,15566,3628,46,5383,0,619,1950,24354
Joppatowne ,12684,300,9642,2112,0,461,0,243,963,11721
Kemp Mill ,12285,529,8340,1961,165,973,33,372,1561,10724
Kettering ,13195,233,506,11972,45,379,0,97,135,13060
Lake Arbor ,10414,188,406,9634,0,112,0,75,160,10254
Lake Shore ,19375,273,18025,844,34,139,0,76,258,19117
Landover ,23218,305,2471,18248,56,285,38,1909,4163,19055
Langley Park ,21049,346,3315,2621,212,353,0,14297,17063,3986
Lanham ,10967,190,2107,6426,69,452,0,1723,3337,7630
Largo ,11015,151,257,10137,19,432,0,19,178,10837
Laurel city,25849,838,7589,13138,182,2122,0,2176,4333,21516
Lexington Park ,12642,718,7162,4192,15,461,0,94,1122,11520
Linthicum ,10699,252,9674,159,34,463,80,37,113,10586
Lochearn ,26070,443,3943,20949,25,449,0,284,1063,25007
Marlboro Village ,10457,193,700,9011,0,87,0,482,733,9724
Maryland City ,17060,692,6565,8268,0,1033,8,645,2371,14689
Mays Chapel ,11774,162,9913,216,23,1460,0,0,201,11573
Middle River ,25816,823,17184,6808,108,841,0,163,1501,24315
Milford Mill ,30085,469,2992,25189,30,950,0,509,1662,28423
Mitchellville ,10475,397,876,8861,0,317,0,48,251,10224
Montgomery Village ,33337,1776,17236,7516,44,3775,7,3379,10258,23079
New Carrollton city,12542,484,2552,8272,68,387,0,813,2370,10172
North Bethesda ,48818,1976,34366,3661,136,7183,30,1710,7232,41586
North Laurel ,22217,1495,8544,7894,35,3385,10,929,2186,20031
North Potomac ,24087,720,13287,1414,107,8393,0,244,1433,22654
Ocean Pines ,11025,111,10249,407,28,88,67,75,502,10523
Odenton ,38374,1831,25315,8179,191,1836,0,1179,2574,35800
Olney ,35090,1164,24875,4103,102,4038,25,954,3522,31568
Overlea ,12206,643,8702,2046,23,620,26,146,447,11759
Owings Mills ,33732,1191,12284,17243,150,2443,32,503,3077,30655
Oxon Hill ,18437,586,1877,13449,9,1022,0,1587,2556,15881
Parkville ,32163,495,19147,10635,41,1344,9,521,1486,30677
Parole ,16764,234,14424,989,0,567,0,610,1097,15667
Pasadena ,25895,1043,21736,1850,0,600,0,666,1197,24698
Perry Hall ,28633,799,21614,3066,88,2712,5,574,1193,27440
Pikesville ,32149,739,24575,4843,66,1721,0,316,772,31377
Potomac ,45945,1287,33716,2265,88,8254,0,435,3788,42157
Randallstown ,34088,784,5226,27414,23,549,3,240,751,33337
Redland ,17175,847,10138,2576,41,2839,0,781,4288,12887
Reisterstown ,27637,691,15459,9078,26,2102,0,373,2936,24701
Riviera Beach ,13466,188,12078,772,1,317,0,144,256,13210
Rockville city,64331,2455,39042,6283,129,13196,0,3757,10085,54246
Rosaryville ,11348,332,1476,8932,0,358,17,239,276,11072
Rosedale ,19029,584,10843,6865,97,284,45,379,977,18052
Rossville ,15368,524,7186,5321,26,1734,3,666,1348,14020
Salisbury city,31883,1041,17725,11237,78,1098,18,715,2208,29675
Seabrook ,17839,341,2556,12445,88,960,0,1570,2127,15712
Severn ,47432,2339,23543,16736,65,4354,46,598,3333,44099
Severna Park ,38364,856,34385,1381,56,1302,0,511,1031,37333
Silver Spring ,77460,2978,32948,20152,244,6383,26,15362,22318,55142
South Laurel ,26394,797,5964,15363,65,2391,0,1977,3670,22724
Suitland ,23824,209,699,22020,117,123,0,678,1345,22479
Summerfield ,12403,126,562,11565,61,44,0,73,691,11712
Takoma Park city,17478,710,8885,5741,21,868,0,1369,2436,15042
Timonium ,10436,171,8897,278,16,990,0,95,440,9996
Towson ,57725,1161,44775,8146,110,3157,0,455,2154,55571
Travilah ,12106,430,7284,525,0,3834,0,179,1052,11054
Urbana ,10750,608,7185,752,87,2013,0,180,1092,9658
Waldorf ,71399,3657,23246,39821,407,3248,48,1389,4471,66928
Walker Mill ,11293,252,417,10398,82,34,0,118,432,10861
Westminster city,18646,469,16245,1365,56,411,0,150,1216,17430
Wheaton ,50688,1707,17871,9420,129,6924,13,15174,21155,29533
White Oak ,17975,514,4425,9480,6,1003,0,2688,3343,14632
Woodlawn  (Baltimore County),40390,1295,10187,24215,240,3886,73,518,2205,38185